Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Threshold
0.21009288518624916,0.7398415107064577,0.3272550993772607,0.7557975596756229,0.326153838675623,0.24394937550934168,0.1
0.2639554662130818,0.5756196256954982,0.36194010071561095,0.7557975596756229,0.326153838675623,0.2686953723905574,0.15000000000000002
0.31485292337489407,0.4385432473444613,0.3665445321307779,0.7557975596756229,0.326153838675623,0.2724660257566609,0.20000000000000004
0.3650352243233222,0.33198448828190863,0.3477262693156733,0.7557975596756229,0.326153838675623,0.26697042304738106,0.25000000000000006
0.4155148095909732,0.24835609509357612,0.3108906711692697,0.7557975596756229,0.326153838675623,0.2552089521194808,0.30000000000000004
0.4678238780694327,0.18630922272803913,0.26648981068370914,0.7557975596756229,0.326153838675623,0.24172674868644156,0.3500000000000001
0.5098537825810553,0.13522171640532793,0.21375266524520256,0.7557975596756229,0.326153838675623,0.21907221401405214,0.40000000000000013
0.56640625,0.09779126622829203,0.1667864845434939,0.7557975596756229,0.326153838675623,0.20103224030158084,0.45000000000000007
0.5959302325581395,0.06912830888551677,0.12388578335095936,0.7557975596756229,0.326153838675623,0.17500023457237732,0.5000000000000001
0.6222707423580786,0.048052604957005564,0.08921583972452653,0.7557975596756229,0.326153838675623,0.1502793017821974,0.5500000000000002
0.62751677852349,0.031529253077052774,0.0600417402472307,0.7557975596756229,0.326153838675623,0.12228337451319493,0.6000000000000002
