Model,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Brier_Score
Logistic Regression,0.5862068965517241,0.031529253077052774,0.05984,0.7503269663948795,0.30811542184895513,0.11632244375245962,0.09203217522651058
Random Forest,0.7763157894736842,0.009947732254257291,0.019643748959547194,0.7487171428799919,0.3166259254277332,0.07954928018298982,0.09270518203671191
XGBoost,0.5959302325581395,0.06912830888551677,0.12388578335095936,0.7557975596756229,0.326153838675623,0.17500023457237732,0.09101100355394204
